siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn,wy
CO10,NS4544SW,1999-02-02 21:20:00,1999-02-09 18:20,199902,5.08,4.6, ,0.048, ,0.003, ,0.003, ,0.008, ,0.02, ,0.42, ,0.04, ,0.19,470.1,-9.99,6.924,w ,            ,2000-03-01,1999
CO10,NS4735SW,1999-02-09 18:20:00,1999-02-16 18:23,199902,4.71,11.1, ,0.14, ,0.01, ,0.006, ,0.015, ,0.04, ,1.68, ,0.05, ,0.13,307.6,-9.99,4.53,w ,            ,2000-03-01,1999
CO10,NS5102SW,1999-02-16 18:23:00,1999-02-23 17:50,199902,4.74,10.9, ,0.099, ,0.009, ,0.012, ,0.03, ,0.08, ,1.04, ,0.12, ,0.53,879.6,16.51,16.51,w ,            ,2000-03-01,1999
CO10,NS5201SW,1999-02-23 17:50:00,1999-03-02 17:50,199902,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,0.0,0.0,0.0,d ,            ,2000-03-01,1999
CO10,NS5588SW,1999-03-02 18:00:00,1999-03-09 18:10,199903,6.14,6.2, ,0.571, ,0.045, ,0.022, ,0.152, ,0.11, ,1.16, ,0.09, ,0.41,1025.2,17.272,17.272,w ,            ,2000-03-01,1999
CO10,NS5698SW,1999-03-09 18:10:00,1999-03-16 18:15,199903,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,16.9,0.762,0.762,  ,vc          ,2000-03-01,1999
CO10,NS5929SW,1999-03-16 18:15:00,1999-03-23 17:40,199903,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,0.0,0.0,0.0,d ,            ,2000-03-01,1999
CO10,NS6228SW,1999-03-23 17:40:00,1999-03-30 18:40,199903,5.12,10.8, ,0.503, ,0.057, ,0.033, ,0.115, ,0.25, ,1.84, ,0.14, ,1.19,515.1,9.144,9.144,w ,            ,2000-03-01,1999
CO10,NS6460SW,1999-03-30 18:40:00,1999-04-06 17:13,199904,7.84,60.8, ,10.3, ,0.285, ,0.365, ,0.306, ,0.02, ,0.49, ,0.19, ,2.76,695.0,16.256,16.256,w ,            ,2000-03-01,1999
CO10,NS6622SW,1999-04-06 17:30:00,1999-04-13 16:00,199904,6.4,6.0, ,0.786, ,0.046, ,0.029, ,0.088, ,0.02, ,0.61, ,0.07, ,0.47,151.5,8.128,8.128,w ,            ,2000-03-01,1999
CO10,NS6889SW,1999-04-13 16:00:00,1999-04-20 16:15,199904,6.31,5.4, ,0.45, ,0.027, ,0.013, ,0.078,<,0.07, ,0.64,<,0.02, ,0.37,29.6,1.016,1.016,wa,            ,2002-06-10,1999
CO10,NS7070SW,1999-04-20 16:15:00,1999-04-27 17:32,199904,5.79,4.8, ,0.255, ,0.024, ,0.02, ,0.075, ,0.16, ,0.55, ,0.1, ,0.46,2995.1,46.99,46.99,w ,            ,2000-03-01,1999
CO10,NS7398SW,1999-04-27 17:32:00,1999-04-30 22:15,199904,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,2747.1,33.528,33.528,  ,u           ,,1999
CO10,NS7396SW,1999-04-30 22:15:00,1999-05-04 17:15,199905,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,<,-9.0, ,-9.0,1738.1,-9.99,25.601,  ,u           ,,1999
CO10,NS7612SW,1999-05-04 17:15:00,1999-05-11 18:45,199905,5.59,4.4, ,0.252, ,0.03, ,0.018, ,0.04, ,0.06, ,0.54, ,0.06, ,0.4,295.7,10.668,10.668,w ,            ,,1999
CO10,NS7684SW,1999-05-11 18:45:00,1999-05-18 17:31,199905,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,0.0,0.0,0.0,d ,            ,,1999
CO10,NS7996SW,1999-05-18 17:31:00,1999-05-25 15:30,199905,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,-9.0,0.0,0.0,d ,            ,,1999
CO10,NS8157SW,1999-05-25 15:40:00,1999-06-01 15:40,199905,4.8,12.5, ,0.226, ,0.031, ,0.031, ,0.038, ,0.32, ,1.7, ,0.13, ,0.86,798.1,13.716,13.716,w ,            ,,1999
CO10,NS8369SW,1999-06-01 15:40:00,1999-06-08 16:40,199906,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,291.5,-9.99,4.293,  ,c           ,,1999
CO10,NS8626SW,1999-06-08 16:40:00,1999-06-15 16:26,199906,4.81,13.1, ,0.361, ,0.042, ,0.028, ,0.065, ,0.25, ,2.14, ,0.14, ,0.78,260.9,5.334,5.334,w ,            ,,1999
CO10,NS8835SW,1999-06-15 16:26:00,1999-06-22 18:08,199906,4.92,9.1, ,0.164, ,0.023, ,0.091, ,0.038, ,0.14, ,1.02, ,0.08, ,0.59,1135.5,14.478,14.478,w ,            ,,1999
CO10,NS9026SW,1999-06-22 18:08:00,1999-06-29 18:30,199906,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,0.0,0.0,0.0,d ,            ,,1999
CO10,NS9264SW,1999-06-29 18:30:00,1999-07-06 17:55,199907,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,23.4,7.366,7.366,  ,vu          ,,1999
CO10,NS9579SW,1999-07-06 17:55:00,1999-07-13 18:30,199907,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,0.0,7.112,7.112,  ,v           ,,1999
CO10,NS9728SW,1999-07-13 18:30:00,1999-07-20 18:20,199907,-9.0,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0, ,-9.0,1050.9,24.384,24.384,  ,vb          ,,1999
CO10,NT0005SW,1999-07-20 18:20:00,1999-07-27 17:50,199907,4.82,8.3, ,0.046, ,0.007, ,0.011, ,0.014, ,0.07, ,0.69, ,0.04, ,0.38,1885.1,26.67,26.67,w ,            ,,1999
CO10,NT0295SW,1999-07-27 18:00:00,1999-08-03 22:15,199907,4.69,10.9, ,0.066, ,0.007, ,0.012, ,0.009, ,0.09, ,1.26, ,0.04, ,0.38,1212.2,-9.99,17.855,w ,            ,,1999
CO10,NT0456SW,1999-08-03 22:15:00,1999-08-10 22:20,199908,4.97,6.4, ,0.031, ,0.004, ,0.006, ,0.003, ,0.09, ,0.61, ,0.04, ,0.3,658.1,-9.99,9.693,w ,            ,,1999
CO10,NT0675SW,1999-08-10 22:20:00,1999-08-17 21:45,199908,4.95,7.3, ,0.066, ,0.006, ,0.009, ,0.017, ,0.1, ,0.64, ,0.04, ,0.46,1662.0,-9.99,24.48,w ,            ,,1999
CO10,NT0967SW,1999-08-17 21:45:00,1999-08-24 21:28,199908,4.77,9.9, ,0.075, ,0.006, ,0.003, ,0.012, ,0.1, ,0.87, ,0.04, ,0.55,1880.4,-9.99,27.697,w ,            ,,1999
CO10,NT1134SW,1999-08-24 21:28:00,1999-08-31 20:25,199908,4.82,9.5, ,0.154, ,0.013, ,0.019, ,0.023, ,0.15, ,0.91, ,0.06, ,0.63,864.1,11.43,11.43,w ,            ,,1999
