date,in_2,in_8,in_20
7/12/2002,0,1.7,6.9
7/13/2002,0,1.8,7.3
7/14/2002,0.4,1.7,6.9
7/15/2002,0,1.7,6.7
7/16/2002,0,1.4,6.4
7/17/2002,0,1.3,7
7/18/2002,0,1.8,6.9
7/19/2002,0,1.3,6.5
7/20/2002,0,1.2,7
7/21/2002,0,1.1,7.2
7/22/2002,0,1.4,7.1
7/23/2002,0,1.3,6.4
7/24/2002,0,0.7,6.2
7/25/2002,0,1.1,6.6
7/26/2002,0,0.7,6.8
7/27/2002,0,0.9,6.7
7/28/2002,0,0.9,6.4
7/29/2002,0,0.6,6.6
7/30/2002,0,1,6.6
7/31/2002,0,1.3,6.5
8/1/2002,0,1.4,6.4
8/2/2002,0,0.9,6.4
8/3/2002,0,0.8,6.3
8/4/2002,0,0.8,6.4
8/5/2002,0,0.7,6.6
8/6/2002,0,0.3,6
8/7/2002,0,0.3,6.1
8/8/2002,15.5,0.2,6.9
8/9/2002,-99.9,-99.9,-99.9
8/10/2002,-99.9,-99.9,-99.9
8/11/2002,-99.9,-99.9,-99.9
8/12/2002,-99.9,-99.9,-99.9
8/13/2002,-99.9,-99.9,-99.9
8/14/2002,-99.9,-99.9,-99.9
8/15/2002,-99.9,-99.9,-99.9
8/16/2002,-99.9,-99.9,-99.9
8/17/2002,-99.9,-99.9,-99.9
8/18/2002,-99.9,-99.9,-99.9
8/19/2002,-99.9,-99.9,-99.9
8/20/2002,-99.9,-99.9,-99.9
8/21/2002,-99.9,-99.9,-99.9
8/22/2002,-99.9,-99.9,-99.9
8/23/2002,-99.9,-99.9,-99.9
8/24/2002,-99.9,-99.9,-99.9
8/25/2002,-99.9,-99.9,-99.9
8/26/2002,-99.9,-99.9,-99.9
8/27/2002,-99.9,-99.9,-99.9
8/28/2002,0.9,1,6.8
8/29/2002,0,0.6,6.8
8/30/2002,0.1,0.5,6.2
8/31/2002,0,0.3,6.3
9/1/2002,0,0.3,5.9
9/2/2002,0,0.4,6.5
9/3/2002,0,0.7,5.9
9/4/2002,0,0.6,6.1
9/5/2002,0,0.5,6.5
9/6/2002,0,0.8,6.2
9/7/2002,0,0.3,6.2
9/8/2002,0,0.3,5.7
9/9/2002,0,0.2,6.1
9/10/2002,0.6,0,6
9/11/2002,5.3,0.3,6.4
9/12/2002,10.8,0.1,4.9
9/13/2002,13.4,0,6.4
9/14/2002,13.5,0,5.7
9/15/2002,12.6,0.3,5.8
9/16/2002,11.2,0.4,6.4
9/17/2002,8.5,0.4,5.1
9/18/2002,7.1,0.4,5.8
9/19/2002,12.7,0,4.9
9/20/2002,27.1,19.9,27
9/21/2002,10.9,0,5.2
9/22/2002,9,0,5.2
9/23/2002,41.1,133954.2,41.2
9/24/2002,6.7,0,5.6
9/25/2002,5.7,0.2,5.3
9/26/2002,129672.1,130450.5,132211.4
9/27/2002,10.2,0.2,4.6
9/28/2002,12.4,0,4.8
9/29/2002,0,0,131160.6
9/30/2002,0,0,-99.9
10/1/2002,41.2,40.4,40.6
10/2/2002,35.8,32.7,32.8
10/3/2002,0,0,130118.6
10/4/2002,17.1,12.1,6.3
10/5/2002,0,0,0
10/6/2002,0,0,0
10/7/2002,42.3,41.3,40.7
10/8/2002,0,0,130505.8
10/9/2002,0,0,130202.1
10/10/2002,-99.9,-99.9,-99.9
10/11/2002,-99.9,-99.9,-99.9
10/12/2002,-99.9,-99.9,-99.9
10/13/2002,-99.9,-99.9,-99.9
10/14/2002,-99.9,-99.9,-99.9
10/15/2002,-99.9,-99.9,-99.9
10/16/2002,-99.9,-99.9,-99.9
10/17/2002,-99.9,-99.9,-99.9
10/18/2002,-99.9,-99.9,-99.9
10/19/2002,-99.9,-99.9,-99.9
10/20/2002,-99.9,-99.9,-99.9
10/21/2002,-99.9,-99.9,-99.9
10/22/2002,-99.9,-99.9,-99.9
10/23/2002,-99.9,-99.9,-99.9
10/24/2002,-99.9,-99.9,-99.9
10/25/2002,-99.9,-99.9,-99.9
10/26/2002,-99.9,-99.9,-99.9
10/27/2002,-99.9,-99.9,-99.9
10/28/2002,-99.9,-99.9,-99.9
10/29/2002,-99.9,-99.9,-99.9
10/30/2002,-99.9,-99.9,-99.9
10/31/2002,-99.9,-99.9,-99.9
11/1/2002,-99.9,-99.9,-99.9
11/2/2002,-99.9,-99.9,-99.9
11/3/2002,-99.9,-99.9,-99.9
11/4/2002,-99.9,-99.9,-99.9
11/5/2002,-99.9,-99.9,-99.9
11/6/2002,-99.9,-99.9,-99.9
11/7/2002,-99.9,-99.9,-99.9
11/8/2002,-99.9,-99.9,-99.9
11/9/2002,-99.9,-99.9,-99.9
11/10/2002,-99.9,-99.9,-99.9
11/11/2002,-99.9,-99.9,-99.9
11/12/2002,-99.9,-99.9,-99.9
11/13/2002,-99.9,-99.9,-99.9
11/14/2002,-99.9,-99.9,-99.9
11/15/2002,-99.9,-99.9,-99.9
11/16/2002,-99.9,-99.9,-99.9
11/17/2002,-99.9,-99.9,-99.9
11/18/2002,-99.9,-99.9,-99.9
11/19/2002,-99.9,-99.9,-99.9
11/20/2002,-99.9,-99.9,-99.9
11/21/2002,-99.9,-99.9,-99.9
11/22/2002,-99.9,-99.9,-99.9
11/23/2002,-99.9,-99.9,-99.9
11/24/2002,-99.9,-99.9,-99.9
11/25/2002,-99.9,-99.9,-99.9
11/26/2002,-99.9,-99.9,-99.9
11/27/2002,-99.9,-99.9,-99.9
11/28/2002,-99.9,-99.9,-99.9
11/29/2002,-99.9,-99.9,-99.9
11/30/2002,12.9,11.1,5.2
12/1/2002,12.3,11.1,6.2
12/2/2002,12.4,10.9,6
12/3/2002,12.7,10.9,6
12/4/2002,12.1,11,6
12/5/2002,11.6,18.7,5.6
12/6/2002,12.6,11,6.5
12/7/2002,11.4,10.9,5.1
12/8/2002,11.5,10.7,6
12/9/2002,12.3,10.7,6.2
12/10/2002,11.3,10.6,5.2
12/11/2002,10.8,10.6,6
12/12/2002,10.7,10.4,4.9
12/13/2002,10.6,10.5,6.1
12/14/2002,23.8,10.2,12.6
12/15/2002,23.4,10.2,0
12/16/2002,9.9,10.2,0
12/17/2002,10.8,10.3,5.5
12/18/2002,10.3,10.1,6.6
12/19/2002,9.7,10.1,5.1
12/20/2002,9.6,9.9,6.2
12/21/2002,9.7,9.8,5
12/22/2002,8.8,9.8,6.3
12/23/2002,9.1,9.5,6.1
12/24/2002,8.7,9.6,5.6
12/25/2002,9.1,9.5,6.1
12/26/2002,8.7,9.4,5.9
12/27/2002,9.3,9.5,5.3
12/28/2002,8.8,9.1,5.3
12/29/2002,8.2,9.2,5.5
12/30/2002,7.9,9.1,6
12/31/2002,8.1,8.9,6.5
1/1/2003,7.5,9,6.4
1/2/2003,8.1,9,6.1
1/3/2003,5.4,10.5,3.7
1/4/2003,-99.9,-99.9,-99.9
1/5/2003,7.2,8.7,5.9
1/6/2003,7.2,8.9,5.5
1/7/2003,7.5,8.4,6.4
1/8/2003,0,8.6,5.5
1/9/2003,0,8.4,5.9
1/10/2003,6.8,8.3,6
1/11/2003,7.3,8.4,5.2
1/12/2003,0,0,0
1/13/2003,0,0,0
1/14/2003,0,0,0
1/15/2003,23.8,21,24.8
1/16/2003,6.8,8,6.1
1/17/2003,0,0,0
1/18/2003,0,0,0
1/19/2003,0,0,0
1/20/2003,0,0,0
1/21/2003,0,0,0
1/22/2003,6.2,7.9,6.1
1/23/2003,0,0,0
1/24/2003,0,0,0
1/25/2003,0,0,0
1/26/2003,6.5,7.5,6.5
1/27/2003,6.9,7.7,6.2
1/28/2003,0,0,0
1/29/2003,0,0,0
1/30/2003,0,0,0
1/31/2003,6.3,7.2,5.9
2/1/2003,6.3,7.5,5.4
2/2/2003,34.3,0,35.4
2/3/2003,27.5,27,28.5
2/4/2003,5.8,7.3,5.9
2/5/2003,6.4,7.1,6.5
2/6/2003,6.4,7.2,6.4
2/7/2003,0,0,0
2/8/2003,-99.9,-99.9,-99.9
2/9/2003,-99.9,-99.9,-99.9
2/10/2003,-99.9,-99.9,-99.9
2/11/2003,-99.9,-99.9,-99.9
2/12/2003,-99.9,-99.9,-99.9
2/13/2003,-99.9,-99.9,-99.9
2/14/2003,-99.9,-99.9,-99.9
2/15/2003,-99.9,-99.9,-99.9
2/16/2003,-99.9,-99.9,-99.9
2/17/2003,0,0,0
2/18/2003,3.9,6.6,6.4
2/19/2003,4.3,6.5,5.7
2/20/2003,3.9,6.7,5.9
2/21/2003,-99.9,-99.9,-99.9
2/22/2003,4.1,6.6,6.2
2/23/2003,0,0,0
2/24/2003,29.2,29.3,32.3
2/25/2003,-99.9,-99.9,-99.9
2/26/2003,-99.9,-99.9,-99.9
