date,site_no,no3
11/17/1993,USGS-09112200,0.14
3/25/1994,USGS-09112200,0.18
8/18/1994,USGS-09112200,0.051
6/1/1994,USGS-09112200,0.074
6/13/1995,USGS-09112200,0.09
3/25/1995,USGS-09112200,0.06
11/30/1995,USGS-09112200,0.08
12/6/1995,USGS-09112200,0.09
12/15/1995,USGS-09112200,0.16
9/20/1995,USGS-09112200,0.06
3/10/1995,USGS-09112200,0.16
10/25/1995,USGS-09112200,0.09
6/16/1995,USGS-09112200,0.09
5/30/1996,USGS-09112200,0.13
10/8/1996,USGS-09112200,0.06
12/29/1996,USGS-09112200,0.13
12/28/1996,USGS-09112200,0.11
5/16/1996,USGS-09112200,0.12
1/11/1996,USGS-09112200,0.13
5/7/1996,USGS-09112200,0.23
11/20/1996,USGS-09112200,0.06
9/11/1996,USGS-09112200,0.09
9/3/1996,USGS-09112200,0.08
3/19/1996,USGS-09112200,0.15
5/22/1996,USGS-09112200,0.1
12/28/1996,USGS-09112200,0.14
6/12/1996,USGS-09112200,0.08
12/29/1996,USGS-09112200,0.17
12/28/1996,USGS-09112200,0.09
8/23/1996,USGS-09112200,0.09
3/27/1996,USGS-09112200,0.05
12/28/1996,USGS-09112200,0.17
7/17/1996,USGS-09112200,0.09
4/3/1996,USGS-09112200,0.16
1/18/1996,USGS-09112200,0.16
4/10/1996,USGS-09112200,0.17
4/14/1997,USGS-09112200,0.12
12/16/1997,USGS-09112200,0.231
7/15/1997,USGS-09112200,0.071
11/19/1997,USGS-09112200,0.161
2/20/1997,USGS-09112200,0.12
1/8/1997,USGS-09112200,0.14
10/22/1997,USGS-09112200,0.077
5/25/1997,USGS-09112200,0.07
4/23/1997,USGS-09112200,0.236
6/3/1997,USGS-09112200,0.084
5/29/1997,USGS-09112200,0.065
5/12/1997,USGS-09112200,0.131
9/9/1997,USGS-09112200,0.063
3/26/1997,USGS-09112200,0.13
8/13/1997,USGS-09112200,0.094
2/19/1998,USGS-09112200,0.215
11/18/1998,USGS-09112200,0.094
4/23/1998,USGS-09112200,0.191
3/19/1998,USGS-09112200,0.269
1/21/1998,USGS-09112200,0.255
6/10/1998,USGS-09112200,0.06
5/28/1998,USGS-09112200,0.071
7/15/1998,USGS-09112200,0.048
8/26/1998,USGS-09112200,0.073
4/29/1998,USGS-09112200,0.153
9/10/1998,USGS-09112200,0.054
6/2/1998,USGS-09112200,0.097
3/19/1998,USGS-09112200,0.267
4/21/1999,USGS-09112200,0.119
2/24/1999,USGS-09112200,0.06
5/25/1999,USGS-09112200,0.073
9/14/1999,USGS-09112200,0.053
11/15/1999,USGS-09112200,0.093
4/5/1999,USGS-09112200,0.102
8/26/1999,USGS-09112200,0.083
7/13/1999,USGS-09112200,0.036
6/2/1999,USGS-09112200,0.064
10/20/1999,USGS-09112200,0.082
6/15/1999,USGS-09112200,0.04
5/12/1999,USGS-09112200,0.119
12/27/1999,USGS-09112200,0.14
1/6/1999,USGS-09112200,0.205
3/11/1999,USGS-09112200,0.085
3/20/2000,USGS-09112200,0.253
6/1/2000,USGS-09112200,0.067
11/8/2000,USGS-09112200,0.068
5/10/2000,USGS-09112200,0.088
8/30/2000,USGS-09112200,0.054
6/8/2000,USGS-09112200,0.079
4/26/2000,USGS-09112200,0.16
6/22/2000,USGS-09112200,0.028
2/29/2000,USGS-09112200,0.149
1/10/2000,USGS-09112200,0.161
4/13/2000,USGS-09112200,0.199
7/20/2000,USGS-09112200,0.07
9/26/2000,USGS-09112200,0.026
10/19/2000,USGS-09112200,0.025
12/5/2000,USGS-09112200,0.041
10/16/2001,USGS-09112200,0.044
9/6/2001,USGS-09112200,0.043
12/12/2001,USGS-09112200,0.138
1/18/2001,USGS-09112200,0.152
4/26/2001,USGS-09112200,0.098
7/17/2001,USGS-09112200,0.037
8/13/2001,USGS-09112200,0.024
3/13/2001,USGS-09112200,0.158
6/19/2001,USGS-09112200,0.03
2/14/2001,USGS-09112200,0.017
5/30/2001,USGS-09112200,0.043
6/27/2002,USGS-09112200,0.045
6/5/2002,USGS-09112200,0.064
12/4/2002,USGS-09112200,0.094
9/3/2002,USGS-09112200,0.027
7/18/2002,USGS-09112200,0.035
8/6/2002,USGS-09112200,0.047
10/22/2002,USGS-09112200,0.024
4/23/2002,USGS-09112200,0.056
2/26/2002,USGS-09112200,0.147
5/6/2003,USGS-09112200,0.319
8/27/2003,USGS-09112200,0.069
4/15/2003,USGS-09112200,0.319
6/18/2003,USGS-09112200,0.065
2/12/2003,USGS-09112200,0.167
12/3/2003,USGS-09112200,0.137
10/3/2003,USGS-09112200,0.069
7/16/2003,USGS-09112200,0.031
1/14/2004,USGS-09112200,0.137
5/26/2004,USGS-09112200,0.095
11/3/2004,USGS-09112200,0.103
3/16/2004,USGS-09112200,0.064
8/13/2004,USGS-09112200,0.074
4/16/2004,USGS-09112200,0.191
6/18/2004,USGS-09112200,0.084
7/26/2005,USGS-09112200,0.038
6/7/2005,USGS-09112200,0.082
9/20/2005,USGS-09112200,0.028
4/7/2005,USGS-09112200,0.109
2/8/2005,USGS-09112200,0.03
10/25/2005,USGS-09112200,0.041
1/11/2006,USGS-09112200,0.12
3/15/2006,USGS-09112200,0.135
5/23/2006,USGS-09112200,0.093
7/12/2006,USGS-09112200,0.065
11/14/2006,USGS-09112200,0.083
9/13/2006,USGS-09112200,0.065
12/4/2007,USGS-09112200,0.132
1/18/2007,USGS-09112200,0.067
6/5/2007,USGS-09112200,0.051
4/10/2007,USGS-09112200,0.107
10/24/2007,USGS-09112200,0.041
8/15/2007,USGS-09112200,0.04
9/17/2008,USGS-09112200,0.047
5/21/2008,USGS-09112200,0.125
3/18/2008,USGS-09112200,0.028
8/14/2008,USGS-09112200,0.069
11/19/2008,USGS-09112200,0.063
7/14/2009,USGS-09112200,0.041
6/10/2009,USGS-09112200,0.063
10/14/2009,USGS-09112200,0.045
2/12/2009,USGS-09112200,0.092
4/30/2009,USGS-09112200,0.131
9/21/2009,USGS-09112200,0.035
5/17/2010,USGS-09112200,0.026
12/7/2010,USGS-09112200,0.094
3/4/2010,USGS-09112200,0.071
7/8/2010,USGS-09112200,0.022
1/7/2010,USGS-09112200,0.191
8/17/2010,USGS-09112200,0.055
10/12/2011,USGS-09112200,0.035
9/2/2011,USGS-09112200,0.062
6/20/2011,USGS-09112200,0.059
4/12/2011,USGS-09112200,0.085
