Nitrate (UM),Date,Site
20.58,7/8/2022,Wash
2.35,7/9/2022,SlateUSGS
1.86,7/7/2022,OBJB
0.58,7/7/2022,OBJ
1.75,7/9/2022,SlateE
1.61,7/8/2022,WashA
2.19,7/9/2022,SlateUSGS_D
2.32,7/8/2022,WashB
0.09,7/8/2022,Coal
2.34,7/9/2022,EastA
1.25,7/9/2022,EastB
2.65,7/7/2022,OBJA
1.85,7/8/2022,CoalA
115.63,8/11/2022,WWTP
0.72,8/11/2022,WashWWTPA
55.31,8/11/2022,WashWWTPB
7.1,8/28/2022,EastA
2.46,8/28/2022,EastB
1.86,8/28/2022,SlateE
0.94,8/28/2022,SlateUSGS
0.85,8/30/2022,OBJ
2.7,8/30/2022,OBJA
2.06,8/30/2022,OBJB
1.17,9/3/2022,Coal
1.81,9/3/2022,CoalA
1.51,9/3/2022,WashA
60,9/4/2022,WashWWTPB
2.59,9/4/2022,WashB
6.54,9/4/2022,WWTPA
0.21,9/4/2022,WashWWTPA
162.85,9/4/2022,WWTP
1.88,9/3/2022,CoalA_D
0.07,9/26/2022,WashWWTPA
0.08,9/26/2022,WashWWTPB
89.08,9/26/2022,WWTP
1.36,9/26/2022,WWTPA
0.2,9/27/2022,Coal
1.68,9/27/2022,CoalA
0.82,9/27/2022,WashA
0.31,9/27/2022,WashB
1.78,9/28/2022,EastA
1.6,9/28/2022,EastB
1.79,9/28/2022,SlateE
0.17,9/28/2022,SlateUSGS
0.19,9/29/2022,OBJ
1.49,9/29/2022,OBJA
1.22,9/29/2022,OBJB
1.19,9/29/2022,OBJB_D
1.88,10/2/2022,MineWWTP
119.22,10/4/2022,CBWWTP
